aggregate_id,resolution,asset_id,window_start,window_end,sentiment_index,evidence_count,independent_source_count,duplicate_group_count,evidence_coverage,leading_event,aggregation_version,calculated_at
agg_9afbb8b787bf4516b62d,1h,bitcoin,2026-01-05T08:00:00Z,2026-01-05T09:00:00Z,0.612169,2,2,1,0.333333,adoption_partnership,1.1.0,2026-01-06T09:26:00Z
agg_c0e65eaab1396d6cf46f,1h,ethereum,2026-01-05T08:00:00Z,2026-01-05T09:00:00Z,0.000000,0,0,0,0.000000,,1.1.0,2026-01-06T09:26:00Z
agg_e9ca045256b5ce39a3d5,1h,bitcoin,2026-01-05T09:00:00Z,2026-01-05T10:00:00Z,0.000000,0,0,0,0.000000,,1.1.0,2026-01-06T09:26:00Z
agg_ee219994f7d775b10ba7,1h,ethereum,2026-01-05T09:00:00Z,2026-01-05T10:00:00Z,-0.077200,1,1,1,0.333333,security_incident,1.1.0,2026-01-06T09:26:00Z
agg_e007bbad122463f2e9c0,1h,bitcoin,2026-01-05T10:00:00Z,2026-01-05T11:00:00Z,0.177900,1,1,1,0.333333,regulation_legal,1.1.0,2026-01-06T09:26:00Z
agg_38a167bd5379d8c5d74d,1h,ethereum,2026-01-05T10:00:00Z,2026-01-05T11:00:00Z,0.000000,0,0,0,0.000000,,1.1.0,2026-01-06T09:26:00Z
agg_abac2b98c19db3ac2a94,1h,bitcoin,2026-01-05T11:00:00Z,2026-01-05T12:00:00Z,0.000000,0,0,0,0.000000,,1.1.0,2026-01-06T09:26:00Z
agg_4d8654e3bbd369bcf0a8,1h,ethereum,2026-01-05T11:00:00Z,2026-01-05T12:00:00Z,0.476700,1,1,1,0.333333,protocol_technical,1.1.0,2026-01-06T09:26:00Z
agg_0f0a80b7e96c53d26a5b,1h,bitcoin,2026-01-05T12:00:00Z,2026-01-05T13:00:00Z,0.296000,1,1,1,0.333333,market_commentary,1.1.0,2026-01-06T09:26:00Z
agg_b572a757b5ec00f2c4cd,1h,ethereum,2026-01-05T12:00:00Z,2026-01-05T13:00:00Z,-0.318200,1,1,1,0.333333,market_commentary,1.1.0,2026-01-06T09:26:00Z
agg_fcf5e203257904894a47,1d,bitcoin,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,0.440208,4,4,3,0.600000,adoption_partnership,1.1.0,2026-01-06T09:26:00Z
agg_8f6682d1d11f6399c24c,1d,ethereum,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,0.127932,3,3,3,0.600000,protocol_technical,1.1.0,2026-01-06T09:26:00Z
